Edizione_Olimpiadi,ID_Edizione,Anno,Nazione,Codice_NOC,Medaglie_Oro,Medaglie_Argento,Medaglie_Bronzo,Totale_Medaglie,Paese_Ospitante,Citta_Ospitante,Precipitazioni_Medie_mm,Superficie_Totale_km2,Investimenti_Diretti_Esteri_perc_PIL,Densita_Popolazione,Inflazione_Prezzi_Consumo,Spesa_Militare_Valuta_Locale,Spesa_Militare_perc_PIL,Spesa_Pubblica_Consumi_USD,Spesa_Nazionale_Lorda_Valuta_Locale,Interscambio_Commerciale_perc_PIL,Valore_Aggiunto_Industria_perc_PIL,Valore_Aggiunto_Servizi_Valuta_Locale,Valore_Aggiunto_Servizi_perc_PIL,Inflazione_Deflatore_PIL,PIL_Assoluto_USD,PIL_Valuta_Locale,Crescita_PIL_perc_annua,PIL_Pro_Capite_USD,RNL_Valuta_Locale,RNL_Pro_Capite_USD,Iscrizioni_Scuola_Primaria_perc,Tasso_Mortalita_Neonatale,Tasso_Mortalita_Infantile,Aspettativa_di_Vita,Popolazione_Eta_Lavorativa_perc,Crescita_Demografica_perc,Popolazione_Totale,Popolazione_Urbana,Tasso_Urbanizzazione_perc
1964 Summer Olympics,16.0,1964.0,United States,USA,36.0,26.0,28.0,90.0,JPN,Tokyo,715.0,9629090.0,,20.36151848390353,1.2417857259036351,51609620413.94308,9.078180054740653,,,,,,,1.2277248732638035,586156715517.2415,586156715517.2415,4.266666666666566,3165.352148377575,587035445116.8806,3325.0,,,25.200000000000003,70.01951219512196,59.7699535769864,1.5449640524500765,185035500.0,130812379.75,70.68670046368507
1964 Summer Olympics,16.0,1964.0,Soviet Union,RUS,30.0,31.0,35.0,96.0,JPN,Tokyo,,17098240.0,,,,,,,,,,,,,,,,,,,,,32.974999999999994,67.82057317073172,63.13432084647435,1.1108630683271532,121921000.0,67675890.75,55.49589824676515
1964 Summer Olympics,16.0,1964.0,Japan,JPN,16.0,5.0,8.0,29.0,JPN,Tokyo,1668.0,377800.0,,258.96554858649205,5.621329805584212,192687500000.0,0.9457870729027288,,,,,,,5.831921414966804,61013284649.76582,21964782473915.7,9.808717262128791,644.4312483286477,21763318171630.8,695.0,,,26.7,68.59871951219513,65.65027725748756,0.9462200370789494,94526000.0,61194829.25,64.72726864343143
1964 Summer Olympics,16.0,1964.0,Germany,GER,10.0,22.0,18.0,50.0,JPN,Tokyo,700.0,356970.0,,212.067872521219,2.41013433095714,7478785657.657507,4.206672836289956,,,,,,,4.061243911982796,99826497225.70166,206736583184.5575,3.885735641818661,1352.67650771912,207406860992.925,1425.0,,,,69.60556097560975,66.37249512526924,0.8583870330873934,73733167.25,56365009.25,76.43915436192714
1964 Summer Olympics,16.0,1964.0,Italy,ITA,10.0,10.0,7.0,27.0,JPN,Tokyo,832.0,301340.0,,173.028005394807,4.136680139838305,383782725.0,2.668742843514755,,,,,,,5.677916232753979,50277926794.68755,16223490115.2761,6.6735414499724905,990.3846500703636,16326898677.9176,1060.0,,23.325000000000003,41.7,69.32048780487806,65.47713609000678,0.691519702104025,50716875.0,30467613.5,60.06942099741328
1964 Summer Olympics,16.0,1964.0,Hungary,HUN,10.0,7.0,5.0,22.0,JPN,Tokyo,589.0,93030.0,,111.72843829285232,,6032500000.0,,,,,,,,-0.0186644541717979,,198580968439.6708,5.50000000000001,,199864220814.53625,,,27.4,45.1,68.41981707317072,65.7061900149186,0.3468804218200156,10040060.5,5387801.25,53.66237292789853
1964 Summer Olympics,16.0,1964.0,Poland,POL,7.0,6.0,10.0,23.0,JPN,Tokyo,600.0,312690.0,,99.01781536017056,,1690000.0,,,,,,,,,,,,,,,,,52.0,67.81524390243905,60.8697470689659,1.1871564453424166,30155487.5,14722517.5,48.81490963598432
1964 Summer Olympics,16.0,1964.0,Australia,AUS,6.0,2.0,10.0,18.0,JPN,Tokyo,534.0,7741220.0,,1.3960662822331866,1.5844846389015603,440500000.0,2.3987537507428,2297960367.6736574,17962750000.0,26.8864255202535,,,,1.6456790210646008,19969043195.04693,17829500000.0,3.330721838735947,1880.41368778761,17831750000.0,1925.0,,,19.75,70.91109756097562,61.35904306986794,2.1160653084059367,10612869.25,8709155.75,82.05448491130954
1964 Summer Olympics,16.0,1964.0,Czechoslovakia,TCH,5.0,6.0,3.0,14.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Great Britain,GBR,4.0,12.0,2.0,18.0,JPN,Tokyo,1220.0,243610.0,,220.0360985960127,2.6665285941289296,1950546810.395857,6.939695836355695,13999604623.934423,,,,,,2.7801589743679003,79696364841.15167,28463000000.0,2.8865185418462063,1502.30331345183,32393304688.344303,1775.0,,15.325,22.25,70.93963414634146,64.93749595484991,0.7858292583236995,53025000.0,41503978.75,78.27430470072463
